2025-07-01 03:39:00.218 DEBUG kinzannoMacBook-Pro.local          o.s.c.i.s.PathMatchingResourcePatternResolver : Skipping search for files matching pattern [**/*.class]: directory [/Users/mkaneyama/mkaneyama/workspace/mitsumi-solutions/git-hub/mybatis-generator-postgres-demo/src/server-app/mybatis-generator-postgres-demo/demo/target/classes/io/github/mitsumi/solutions/mybatis/postgres/generated/mappers] does not exist
2025-07-01 03:39:00.221 DEBUG kinzannoMacBook-Pro.local          o.m.s.m.ClassPathMapperScanner : Ignored because not a concrete top-level class: file [/Users/mkaneyama/mkaneyama/workspace/mitsumi-solutions/git-hub/mybatis-generator-postgres-demo/src/server-app/mybatis-generator-postgres-demo/generated/target/classes/io/github/mitsumi/solutions/mybatis/postgres/generated/mappers/TblCompanyDynamicSqlSupport$TblCompany.class]
2025-07-01 03:39:00.221 DEBUG kinzannoMacBook-Pro.local          o.m.s.m.ClassPathMapperScanner : Ignored because not a concrete top-level class: file [/Users/mkaneyama/mkaneyama/workspace/mitsumi-solutions/git-hub/mybatis-generator-postgres-demo/src/server-app/mybatis-generator-postgres-demo/generated/target/classes/io/github/mitsumi/solutions/mybatis/postgres/generated/mappers/TblCompanyDynamicSqlSupport.class]
2025-07-01 03:39:00.221 DEBUG kinzannoMacBook-Pro.local          o.m.s.m.ClassPathMapperScanner : Identified candidate component class: file [/Users/mkaneyama/mkaneyama/workspace/mitsumi-solutions/git-hub/mybatis-generator-postgres-demo/src/server-app/mybatis-generator-postgres-demo/generated/target/classes/io/github/mitsumi/solutions/mybatis/postgres/generated/mappers/TblCompanyMapper.class]
2025-07-01 03:39:00.221 DEBUG kinzannoMacBook-Pro.local          o.m.s.m.ClassPathMapperScanner : Ignored because not a concrete top-level class: file [/Users/mkaneyama/mkaneyama/workspace/mitsumi-solutions/git-hub/mybatis-generator-postgres-demo/src/server-app/mybatis-generator-postgres-demo/generated/target/classes/io/github/mitsumi/solutions/mybatis/postgres/generated/mappers/TblUserDynamicSqlSupport$TblUser.class]
2025-07-01 03:39:00.221 DEBUG kinzannoMacBook-Pro.local          o.m.s.m.ClassPathMapperScanner : Ignored because not a concrete top-level class: file [/Users/mkaneyama/mkaneyama/workspace/mitsumi-solutions/git-hub/mybatis-generator-postgres-demo/src/server-app/mybatis-generator-postgres-demo/generated/target/classes/io/github/mitsumi/solutions/mybatis/postgres/generated/mappers/TblUserDynamicSqlSupport.class]
2025-07-01 03:39:00.221 DEBUG kinzannoMacBook-Pro.local          o.m.s.m.ClassPathMapperScanner : Identified candidate component class: file [/Users/mkaneyama/mkaneyama/workspace/mitsumi-solutions/git-hub/mybatis-generator-postgres-demo/src/server-app/mybatis-generator-postgres-demo/generated/target/classes/io/github/mitsumi/solutions/mybatis/postgres/generated/mappers/TblUserMapper.class]
2025-07-01 03:39:00.222 DEBUG kinzannoMacBook-Pro.local          o.m.s.m.ClassPathMapperScanner : Creating MapperFactoryBean with name 'tblCompanyMapper' and 'io.github.mitsumi.solutions.mybatis.postgres.generated.mappers.TblCompanyMapper' mapperInterface
2025-07-01 03:39:00.229 DEBUG kinzannoMacBook-Pro.local          o.m.s.m.ClassPathMapperScanner : Enabling autowire by type for MapperFactoryBean with name 'tblCompanyMapper'.
2025-07-01 03:39:00.230 DEBUG kinzannoMacBook-Pro.local          o.m.s.m.ClassPathMapperScanner : Creating MapperFactoryBean with name 'tblUserMapper' and 'io.github.mitsumi.solutions.mybatis.postgres.generated.mappers.TblUserMapper' mapperInterface
